index,text,possible_emotions
29,i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,"['stun', 'triumph', 'alarm', 'intimacy', 'intimacy', 'jubilation', 'triumph', 'depression', 'jubilation', 'vexation']"
30,ive been missing him and feeling so restless at home thinking of him,"['irritation', 'irritation', 'attachment', 'jubilation', 'intimacy', 'delight', 'delight', 'attachment', 'jubilation', 'fright']"
31,i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,"['dejection', 'flabbergast', 'regret', 'tenderness', 'stun', 'fondness', 'triumph', 'fondness', 'joyfulness', 'annoyance']"
32,i start to feel emotional,"['warmth', 'crossness', 'crossness', 'shock', 'joyfulness', 'stun', 'fright', 'triumph', 'delight', 'unhappiness']"
33,i feel so cold a href http irish,"['exultation', 'intimacy', 'alarm', 'fondness', 'fright', 'intimacy', 'stagger', 'flabbergast', 'dejection', 'irritation']"
34,i feel like i m defective or something for not having baby fever,"['triumph', 'intimacy', 'attachment', 'vexation', 'annoyance', 'tenderness', 'delight', 'warmth', 'exasperation', 'sorrow']"
35,i feel more virtuous than when i eat veggies dipped in hummus,"['flabbergast', 'tenderness', 'alarm', 'fright', 'attachment', 'annoyance', 'tenderness', 'shock', 'exasperation', 'triumph']"
36,i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,"['regret', 'flabbergast', 'stagger', 'flabbergast', 'depression', 'fright', 'crossness', 'vexation', 'irritation', 'triumph']"
37,i spent the last two weeks of school feeling miserable,"['exultation', 'intimacy', 'jubilation', 'annoyance', 'panic', 'stun', 'triumph', 'alarm', 'delight', 'regret']"
38,im feeling very peaceful about our wedding again now after having,"['attachment', 'unhappiness', 'fondness', 'flabbergast', 'warmth', 'horror', 'fondness', 'terror', 'astound', 'triumph']"
39,i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,"['astound', 'exasperation', 'horror', 'shock', 'unhappiness', 'dejection', 'panic', 'horror', 'regret', 'jubilation']"
40,i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,"['stagger', 'sorrow', 'dejection', 'intimacy', 'panic', 'dejection', 'attachment', 'flabbergast', 'depression', 'vexation']"
41,i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,"['joyfulness', 'fright', 'tenderness', 'attachment', 'terror', 'vexation', 'warmth', 'exasperation', 'tenderness', 'regret']"
42,i feel reassured that i am dealing with my diet in the right way and that all is good,"['annoyance', 'annoyance', 'attachment', 'panic', 'panic', 'exasperation', 'sorrow', 'irritation', 'alarm', 'delight']"
43,i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,"['joyfulness', 'panic', 'joyfulness', 'panic', 'astound', 'annoyance', 'exultation', 'alarm', 'fright', 'dejection']"
44,im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,"['vexation', 'fright', 'stagger', 'fright', 'fondness', 'crossness', 'vexation', 'depression', 'intimacy', 'jubilation']"
45,im feeling really out of place and irritated,"['delight', 'fondness', 'regret', 'fondness', 'delight', 'tenderness', 'stagger', 'intimacy', 'depression', 'annoyance']"
46,i also know that i feel nothing than a friendly affection to them too,"['warmth', 'horror', 'irritation', 'flabbergast', 'regret', 'intimacy', 'terror', 'depression', 'stagger', 'joyfulness']"
47,i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,"['dejection', 'flabbergast', 'intimacy', 'irritation', 'fondness', 'alarm', 'panic', 'intimacy', 'intimacy', 'triumph', 'jubilation']"
48,im feeling insecure at the moment,"['annoyance', 'delight', 'intimacy', 'exultation', 'sorrow', 'exasperation', 'unhappiness', 'astound', 'delight', 'terror']"
49,i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,"['jubilation', 'shock', 'vexation', 'vexation', 'fondness', 'joyfulness', 'tenderness', 'triumph', 'triumph', 'terror']"
50,i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,"['panic', 'exasperation', 'astound', 'crossness', 'flabbergast', 'stagger', 'panic', 'panic', 'fondness', 'depression']"
51,i feel a little nervous i go to the gym,"['delight', 'depression', 'crossness', 'sorrow', 'astound', 'sorrow', 'sorrow', 'dejection', 'shock', 'alarm']"
52,i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,"['horror', 'crossness', 'irritation', 'irritation', 'crossness', 'alarm', 'stagger', 'annoyance', 'tenderness', 'delight']"
53,i can t stop the anxiety i feel when i m alone when i ve got no distractions,"['stagger', 'delight', 'exultation', 'triumph', 'alarm', 'intimacy', 'alarm', 'exultation', 'warmth', 'depression']"
54,im trying to feel out my house style now that im living on my own and have creative carte blanche,"['astound', 'stun', 'stun', 'sorrow', 'attachment', 'terror', 'exasperation', 'sorrow', 'terror', 'delight']"
55,i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,"['vexation', 'delight', 'vexation', 'attachment', 'intimacy', 'flabbergast', 'fondness', 'stagger', 'intimacy', 'sorrow']"
56,i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,"['flabbergast', 'vexation', 'alarm', 'delight', 'panic', 'jubilation', 'annoyance', 'warmth', 'terror', 'sorrow']"
57,i have a good feeling about this so i am excited,"['depression', 'vexation', 'sorrow', 'annoyance', 'fondness', 'flabbergast', 'warmth', 'stagger', 'shock', 'triumph']"
58,i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,"['stagger', 'exultation', 'vexation', 'astound', 'delight', 'triumph', 'horror', 'attachment', 'delight', 'sorrow']"
59,i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,"['horror', 'attachment', 'intimacy', 'exultation', 'dejection', 'attachment', 'stagger', 'intimacy', 'shock', 'crossness']"
60,i woke up yesterday monday morning feeling a little depressed,"['joyfulness', 'fright', 'terror', 'fondness', 'fright', 'shock', 'exultation', 'panic', 'exasperation', 'regret', 'regret']"
61,i feel so embarrassed,"['joyfulness', 'astound', 'joyfulness', 'irritation', 'alarm', 'jubilation', 'triumph', 'exasperation', 'fondness', 'dejection']"
62,i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,"['stun', 'sorrow', 'vexation', 'panic', 'terror', 'horror', 'exasperation', 'astound', 'intimacy', 'delight', 'exultation']"
63,i can honestly say that after each sistahs chat i feel invigorated and blessed,"['warmth', 'vexation', 'irritation', 'fright', 'sorrow', 'sorrow', 'fright', 'stagger', 'panic', 'exultation']"
64,i still feel stupid to be in that class this is all cause off pbss fault,"['flabbergast', 'crossness', 'irritation', 'fondness', 'crossness', 'horror', 'annoyance', 'joyfulness', 'alarm', 'dejection']"
65,i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,"['warmth', 'sorrow', 'depression', 'jubilation', 'attachment', 'terror', 'fondness', 'annoyance', 'crossness', 'astound']"
66,i admit im feeling a little bit unloved at this point,"['panic', 'fondness', 'attachment', 'alarm', 'irritation', 'fondness', 'alarm', 'delight', 'exultation', 'unhappiness', 'dejection']"
67,i feel a bit stressed even though all the things i have going on are fun,"['warmth', 'horror', 'dejection', 'terror', 'tenderness', 'stun', 'panic', 'exultation', 'tenderness', 'vexation', 'exasperation']"
68,im feeling pretty anxious,"['exultation', 'crossness', 'irritation', 'irritation', 'irritation', 'delight', 'flabbergast', 'annoyance', 'dejection', 'terror']"
69,i feel shocked and sad at the fact that there are so many sick people,"['intimacy', 'sorrow', 'tenderness', 'regret', 'vexation', 'fright', 'dejection', 'panic', 'fondness', 'shock']"
70,i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,"['crossness', 'alarm', 'alarm', 'intimacy', 'panic', 'flabbergast', 'crossness', 'shock', 'dejection', 'joyfulness']"
71,i feel like a naughty school girl because i am falling behind,"['irritation', 'alarm', 'shock', 'vexation', 'depression', 'dejection', 'stun', 'exultation', 'shock', 'fondness']"
72,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,"['fright', 'panic', 'annoyance', 'warmth', 'jubilation', 'panic', 'depression', 'alarm', 'unhappiness', 'flabbergast']"
73,i can feel that they are kind friendly and can understand my feelings,"['crossness', 'dejection', 'fondness', 'annoyance', 'fondness', 'attachment', 'horror', 'annoyance', 'dejection', 'exultation']"
74,i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,"['joyfulness', 'exultation', 'exasperation', 'triumph', 'stagger', 'terror', 'exasperation', 'shock', 'annoyance', 'warmth', 'tenderness']"
75,i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,"['panic', 'depression', 'regret', 'shock', 'terror', 'panic', 'astound', 'warmth', 'jubilation', 'exasperation']"
76,i feel transcendant and splendid,"['depression', 'terror', 'annoyance', 'intimacy', 'irritation', 'fright', 'crossness', 'fright', 'horror', 'jubilation']"
77,i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,"['astound', 'intimacy', 'fondness', 'triumph', 'joyfulness', 'alarm', 'irritation', 'horror', 'irritation', 'sorrow']"
78,i am feeling totally relaxed and comfy,"['exasperation', 'crossness', 'stagger', 'tenderness', 'horror', 'alarm', 'terror', 'astound', 'exasperation', 'delight']"
79,i want each of you to feel my gentle embrace,"['shock', 'joyfulness', 'stun', 'vexation', 'vexation', 'terror', 'alarm', 'unhappiness', 'shock', 'tenderness']"
80,i feel privileged in my world,"['fondness', 'warmth', 'panic', 'tenderness', 'annoyance', 'flabbergast', 'unhappiness', 'panic', 'regret', 'jubilation']"
81,i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,"['exultation', 'terror', 'alarm', 'joyfulness', 'stun', 'jubilation', 'astound', 'alarm', 'fright', 'irritation']"
82,i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,"['exultation', 'panic', 'terror', 'joyfulness', 'stun', 'horror', 'flabbergast', 'stagger', 'warmth', 'dejection']"
83,i suppose i feel too trusting sometimes,"['crossness', 'shock', 'unhappiness', 'shock', 'unhappiness', 'exasperation', 'alarm', 'intimacy', 'irritation', 'triumph']"
84,i came home waiting for the shower read something which made me upset thats why i feel discontent haha,"['shock', 'warmth', 'irritation', 'fright', 'annoyance', 'warmth', 'stun', 'annoyance', 'irritation', 'depression']"
85,i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,"['triumph', 'exasperation', 'panic', 'exasperation', 'shock', 'delight', 'irritation', 'jubilation', 'horror', 'dejection']"
86,i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,"['attachment', 'dejection', 'depression', 'stagger', 'flabbergast', 'alarm', 'sorrow', 'tenderness', 'depression', 'delight']"
87,i am feeling so happy,"['intimacy', 'shock', 'horror', 'vexation', 'astound', 'crossness', 'warmth', 'astound', 'intimacy', 'joyfulness']"
88,i am running at an approximate minute pace which i feel is quite acceptable,"['annoyance', 'astound', 'shock', 'warmth', 'intimacy', 'unhappiness', 'annoyance', 'tenderness', 'attachment', 'exultation']"
89,i feel so disappointed when my ex girlfriend doesn t call me back,"['attachment', 'tenderness', 'annoyance', 'flabbergast', 'jubilation', 'tenderness', 'warmth', 'astound', 'exasperation', 'dejection']"
90,i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,"['sorrow', 'stun', 'fright', 'tenderness', 'annoyance', 'attachment', 'stun', 'shock', 'terror', 'jubilation']"
91,i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,"['triumph', 'intimacy', 'jubilation', 'irritation', 'astound', 'intimacy', 'shock', 'jubilation', 'stun', 'alarm']"
92,i just plain feel envious of the self confidence they had,"['dejection', 'fright', 'astound', 'flabbergast', 'fondness', 'horror', 'unhappiness', 'jubilation', 'jubilation', 'vexation']"
93,i was feeling weird the other day and it went away about minutes after i took my metformin,"['crossness', 'crossness', 'exultation', 'exultation', 'exultation', 'triumph', 'astound', 'exasperation', 'stagger', 'panic']"
94,when a friend dropped a frog down my neck,"['fondness', 'shock', 'joyfulness', 'sorrow', 'delight', 'terror', 'regret', 'alarm', 'delight', 'irritation']"
95,im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,"['regret', 'horror', 'warmth', 'triumph', 'terror', 'exultation', 'horror', 'warmth', 'astound', 'crossness']"
96,i love neglecting this blog but sometimes i feel for my faithful readers,"['flabbergast', 'alarm', 'unhappiness', 'dejection', 'stagger', 'stagger', 'vexation', 'stagger', 'annoyance', 'attachment']"
97,i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,"['exultation', 'attachment', 'jubilation', 'exasperation', 'triumph', 'exasperation', 'panic', 'horror', 'tenderness', 'unhappiness']"
98,i feel my heart is tortured by what i have done,"['astound', 'panic', 'terror', 'exultation', 'stagger', 'horror', 'unhappiness', 'tenderness', 'warmth', 'annoyance']"
99,i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,"['delight', 'irritation', 'tenderness', 'panic', 'stagger', 'jubilation', 'irritation', 'annoyance', 'shock', 'dejection']"
100,i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,"['alarm', 'irritation', 'intimacy', 'exasperation', 'horror', 'fondness', 'attachment', 'jubilation', 'triumph', 'unhappiness']"
101,i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,"['fright', 'horror', 'fondness', 'vexation', 'fondness', 'triumph', 'vexation', 'jubilation', 'horror', 'dejection']"
102,i started out feeling discouraged this morning,"['exultation', 'astound', 'jubilation', 'exultation', 'attachment', 'triumph', 'tenderness', 'exasperation', 'fondness', 'sorrow']"
103,i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,"['vexation', 'joyfulness', 'intimacy', 'attachment', 'dejection', 'astound', 'delight', 'irritation', 'flabbergast', 'alarm']"
104,i grab it from the air its smooth frame feels cold to the touch,"['triumph', 'exultation', 'unhappiness', 'warmth', 'unhappiness', 'sorrow', 'joyfulness', 'stun', 'depression', 'vexation']"
105,i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,"['stagger', 'triumph', 'unhappiness', 'horror', 'regret', 'jubilation', 'stun', 'alarm', 'fondness', 'vexation']"
106,i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,"['stagger', 'intimacy', 'unhappiness', 'annoyance', 'vexation', 'shock', 'astound', 'stun', 'attachment', 'exultation']"
107,i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,"['irritation', 'tenderness', 'stagger', 'fondness', 'stagger', 'warmth', 'shock', 'tenderness', 'horror', 'jubilation']"
108,i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,"['dejection', 'jubilation', 'fondness', 'delight', 'joyfulness', 'fondness', 'exultation', 'warmth', 'fondness', 'panic']"
109,im feeling pretty disheartened by the whole thing,"['vexation', 'astound', 'panic', 'exasperation', 'shock', 'tenderness', 'attachment', 'flabbergast', 'exasperation', 'sorrow']"
110,i feel that an input from me will be valued as being less potent than say that of irfan pathan,"['irritation', 'unhappiness', 'irritation', 'alarm', 'horror', 'depression', 'horror', 'dejection', 'vexation', 'exultation', 'delight']"
111,i feel is he generous,"['annoyance', 'unhappiness', 'triumph', 'triumph', 'depression', 'astound', 'crossness', 'jubilation', 'dejection', 'warmth']"
112,i even feel a little shaky,"['joyfulness', 'unhappiness', 'exasperation', 'fondness', 'intimacy', 'irritation', 'jubilation', 'stun', 'intimacy', 'horror']"
113,i am feeling better though i dont sound it,"['alarm', 'irritation', 'vexation', 'warmth', 'flabbergast', 'attachment', 'crossness', 'terror', 'crossness', 'delight']"
114,i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,"['horror', 'shock', 'alarm', 'triumph', 'triumph', 'flabbergast', 'panic', 'exasperation', 'tenderness', 'unhappiness']"
115,i feel our world then was a much more innocent place,"['flabbergast', 'depression', 'stun', 'panic', 'depression', 'intimacy', 'fondness', 'stagger', 'alarm', 'delight']"
116,i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,"['crossness', 'terror', 'stun', 'tenderness', 'depression', 'flabbergast', 'sorrow', 'attachment', 'dejection', 'joyfulness']"
117,im not feeling anything suspicious really,"['crossness', 'warmth', 'joyfulness', 'crossness', 'irritation', 'exasperation', 'exasperation', 'fondness', 'sorrow', 'alarm']"
118,i was feeling a little sentimental today,"['terror', 'fondness', 'stun', 'intimacy', 'vexation', 'delight', 'astound', 'stun', 'crossness', 'depression']"
119,i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,"['alarm', 'fright', 'stun', 'irritation', 'intimacy', 'sorrow', 'flabbergast', 'unhappiness', 'attachment', 'exultation', 'jubilation']"
120,i feel less whiney since the sun came out here in the sf area,"['fondness', 'joyfulness', 'vexation', 'exasperation', 'horror', 'intimacy', 'exasperation', 'fondness', 'stagger', 'depression']"
121,made a wonderfull new friend,"['exasperation', 'exasperation', 'fright', 'tenderness', 'intimacy', 'irritation', 'unhappiness', 'flabbergast', 'irritation', 'delight']"
122,i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,"['fondness', 'joyfulness', 'tenderness', 'irritation', 'crossness', 'shock', 'horror', 'astound', 'tenderness', 'unhappiness']"
123,i know its easy to feel a little envious of me and i cant tell you that you shouldnt,"['panic', 'fondness', 'horror', 'exultation', 'sorrow', 'astound', 'joyfulness', 'warmth', 'flabbergast', 'annoyance']"
124,i would feel awful if she was here this whole time,"['attachment', 'attachment', 'crossness', 'fondness', 'alarm', 'stagger', 'vexation', 'warmth', 'shock', 'sorrow']"
125,i feel very mislead by someone that i really really thought i knew and liked very much so,"['jubilation', 'vexation', 'stagger', 'astound', 'regret', 'flabbergast', 'triumph', 'alarm', 'terror', 'tenderness', 'intimacy']"
126,i feel like we are doomed us humans,"['triumph', 'fright', 'fondness', 'exultation', 'crossness', 'fondness', 'astound', 'astound', 'exultation', 'sorrow']"
127,i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,"['tenderness', 'intimacy', 'attachment', 'stagger', 'irritation', 'joyfulness', 'jubilation', 'jubilation', 'exultation', 'fright']"
128,i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,"['horror', 'jubilation', 'warmth', 'joyfulness', 'terror', 'warmth', 'astound', 'vexation', 'irritation', 'depression']"
129,ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,"['terror', 'astound', 'jubilation', 'fondness', 'vexation', 'fondness', 'stagger', 'exasperation', 'flabbergast', 'regret']"
130,i feel that this information is vital to moving on with your day and you re not complete until you read it,"['alarm', 'crossness', 'sorrow', 'stun', 'horror', 'annoyance', 'fright', 'panic', 'intimacy', 'jubilation']"
131,im feeling generous today heres one more you may have already seen but is good for a chuckle,"['alarm', 'stun', 'panic', 'fright', 'fright', 'annoyance', 'stun', 'regret', 'flabbergast', 'intimacy']"
132,i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,"['shock', 'astound', 'shock', 'joyfulness', 'flabbergast', 'fondness', 'intimacy', 'stagger', 'horror', 'dejection']"
133,i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,"['shock', 'warmth', 'shock', 'regret', 'stagger', 'exultation', 'attachment', 'dejection', 'stagger', 'irritation']"
134,i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,"['flabbergast', 'stagger', 'shock', 'terror', 'joyfulness', 'tenderness', 'unhappiness', 'depression', 'stagger', 'annoyance']"
135,i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,"['exasperation', 'sorrow', 'stagger', 'flabbergast', 'exasperation', 'astound', 'attachment', 'fright', 'intimacy', 'exultation']"
136,i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,"['delight', 'jubilation', 'flabbergast', 'triumph', 'shock', 'dejection', 'shock', 'unhappiness', 'jubilation', 'alarm']"
137,i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,"['regret', 'terror', 'delight', 'unhappiness', 'warmth', 'alarm', 'sorrow', 'astound', 'tenderness', 'annoyance', 'exasperation']"
138,i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,"['irritation', 'triumph', 'intimacy', 'fright', 'stagger', 'fondness', 'triumph', 'flabbergast', 'annoyance', 'regret']"
139,i feel radiant bright accomplished and happy,"['fondness', 'tenderness', 'irritation', 'regret', 'fondness', 'fright', 'regret', 'shock', 'terror', 'exultation']"
140,i feel refrigerator magnets that were so popular a few years ago,"['alarm', 'annoyance', 'tenderness', 'tenderness', 'crossness', 'unhappiness', 'unhappiness', 'regret', 'horror', 'exultation']"
141,i am feeling very touch deprived with all that has been happening,"['triumph', 'fondness', 'flabbergast', 'fondness', 'stagger', 'delight', 'flabbergast', 'panic', 'flabbergast', 'dejection', 'unhappiness']"
142,i am feeling apprehensive about it but also wildly excited,"['vexation', 'unhappiness', 'triumph', 'unhappiness', 'exultation', 'irritation', 'joyfulness', 'triumph', 'triumph', 'fright']"
143,i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,"['terror', 'attachment', 'exasperation', 'flabbergast', 'depression', 'panic', 'panic', 'astound', 'tenderness', 'delight']"
144,i am a quiet person but what i have to say i feel is important,"['terror', 'unhappiness', 'dejection', 'panic', 'stun', 'annoyance', 'sorrow', 'shock', 'astound', 'jubilation']"
145,i think i started to feel a little homesick,"['jubilation', 'annoyance', 'joyfulness', 'annoyance', 'delight', 'crossness', 'astound', 'exasperation', 'annoyance', 'unhappiness']"
